,OBJECTID,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Recovered,Deaths,Active,Admin2,FIPS,Combined_Key
62,63,Rondonia,Brazil,1621603255000.0,-11.5057,-63.5806,224144,211039,5565,7540,,,"Rondonia, Brazil"
63,64,Roraima,Brazil,1621603255000.0,-2.7376,-62.0751,101004,94757,1589,4658,,,"Roraima, Brazil"
64,65,Santa Catarina,Brazil,1621603255000.0,-27.2423,-50.2189,940028,901919,14679,23430,,,"Santa Catarina, Brazil"
65,66,Sao Paulo,Brazil,1621603255000.0,-23.5505,-46.6333,3147348,2816930,106437,223981,,,"Sao Paulo, Brazil"
66,67,Sergipe,Brazil,1621603255000.0,-10.5741,-37.3857,221542,200282,4831,16429,,,"Sergipe, Brazil"
67,68,Tocantins,Brazil,1621603255000.0,-10.1753,-48.2982,170785,153562,2760,14463,,,"Tocantins, Brazil"
68,69,,Brunei,1621603255000.0,4.5353,114.7277,235,222,3,10,,,Brunei
69,70,,Bulgaria,1621603255000.0,42.7339,25.4858,416055,371555,17447,27053,,,Bulgaria
70,71,,Burkina Faso,1621603255000.0,12.2383,-1.5616,13408,13223,165,20,,,Burkina Faso
71,72,,Burma,1621603255000.0,21.9162,95.956,143183,132148,3216,7819,,,Burma
72,73,,Burundi,1621603255000.0,-3.3731,29.9189,4418,773,6,3639,,,Burundi
73,74,,Cabo Verde,1621603255000.0,16.5388,-23.0418,28898,26116,253,2529,,,Cabo Verde
74,75,,Cambodia,1621603255000.0,11.55,104.9167,24157,16524,165,7468,,,Cambodia
75,76,,Cameroon,1621603255000.0,3.848,11.5021,77429,35261,1189,40979,,,Cameroon
76,77,Alberta,Canada,1621603255000.0,53.9333,-116.5765,222279,202442,2162,17675,,,"Alberta, Canada"
77,78,British Columbia,Canada,1621603255000.0,53.7267,-127.6476,140953,134521,1661,4771,,,"British Columbia, Canada"
78,79,Diamond Princess,Canada,1608557250000.0,,,0,0,1,0,,,"Diamond Princess, Canada"
79,80,Grand Princess,Canada,1608557250000.0,,,13,13,0,0,,,"Grand Princess, Canada"
80,81,Manitoba,Canada,1621603255000.0,53.7609,-98.8139,46916,41238,1019,4659,,,"Manitoba, Canada"
81,82,New Brunswick,Canada,1621603255000.0,46.5653,-66.4619,2098,1937,43,118,,,"New Brunswick, Canada"
82,83,Newfoundland and Labrador,Canada,1621603255000.0,53.1355,-57.6604,1216,1134,6,76,,,"Newfoundland and Labrador, Canada"
83,84,Northwest Territories,Canada,1621603255000.0,64.8255,-124.8457,126,114,0,12,,,"Northwest Territories, Canada"
84,85,Nova Scotia,Canada,1621603255000.0,44.682,-63.7443,5065,3848,74,1143,,,"Nova Scotia, Canada"
85,86,Nunavut,Canada,1621603255000.0,70.2998,-83.1076,636,577,4,55,,,"Nunavut, Canada"
86,87,Ontario,Canada,1621603255000.0,51.2538,-85.3232,525365,496573,8533,20259,,,"Ontario, Canada"
87,88,Prince Edward Island,Canada,1621603255000.0,46.5107,-63.4168,199,185,0,14,,,"Prince Edward Island, Canada"
88,89,Quebec,Canada,1621603255000.0,52.9399,-73.5491,365642,347942,11066,6634,,,"Quebec, Canada"
89,90,Repatriated Travellers,Canada,1621603255000.0,,,13,13,0,0,,,"Repatriated Travellers, Canada"
90,91,Saskatchewan,Canada,1621603255000.0,52.9399,-106.4509,45128,42821,522,1785,,,"Saskatchewan, Canada"
91,92,Yukon,Canada,1621603255000.0,64.2823,-135.0,84,82,2,0,,,"Yukon, Canada"
92,93,,Central African Republic,1621603255000.0,6.6111,20.9394,7010,5112,96,1802,,,Central African Republic
93,94,,Chad,1621603255000.0,15.4542,18.7322,4918,4717,173,28,,,Chad
94,95,Antofagasta,Chile,1621603255000.0,-23.6509,-70.3975,51580,49508,1011,1061,,,"Antofagasta, Chile"
95,96,Araucania,Chile,1621603255000.0,-38.9489,-72.3311,78835,75411,997,2427,,,"Araucania, Chile"
96,97,Arica y Parinacota,Chile,1621603255000.0,-18.594,-69.4785,21813,20720,422,671,,,"Arica y Parinacota, Chile"
97,98,Atacama,Chile,1621603255000.0,-27.5661,-70.0503,20110,19135,224,751,,,"Atacama, Chile"
98,99,Aysen,Chile,1621603255000.0,-45.9864,-73.7669,5169,4751,33,385,,,"Aysen, Chile"
99,100,Biobio,Chile,1621603255000.0,-37.4464,-72.1416,124478,119083,2008,3387,,,"Biobio, Chile"
100,101,Coquimbo,Chile,1621603255000.0,-29.959,-71.3389,35335,33543,664,1128,,,"Coquimbo, Chile"
101,102,Los Lagos,Chile,1621603255000.0,-41.9198,-72.1416,73629,70786,1001,1842,,,"Los Lagos, Chile"
102,103,Los Rios,Chile,1621603255000.0,-40.231,-72.3311,36778,35277,416,1085,,,"Los Rios, Chile"
103,104,Magallanes,Chile,1621603255000.0,-52.368,-70.9863,27101,26179,392,530,,,"Magallanes, Chile"
104,105,Maule,Chile,1621603255000.0,-35.5183,-71.6885,79556,75244,1312,3000,,,"Maule, Chile"
105,106,Metropolitana,Chile,1621603255000.0,-33.4376,-70.6505,542636,511536,14946,16154,,,"Metropolitana, Chile"
106,107,Nuble,Chile,1621603255000.0,-36.7226,-71.7622,28527,27170,481,876,,,"Nuble, Chile"
107,108,OHiggins,Chile,1621603255000.0,-34.5755,-71.0022,53417,50298,1121,1998,,,"OHiggins, Chile"
108,109,Tarapaca,Chile,1621603255000.0,-19.9232,-69.5132,35888,34561,654,673,,,"Tarapaca, Chile"
109,110,Unknown,Chile,1621603255000.0,,,54,54,0,0,,,"Unknown, Chile"
110,111,Valparaiso,Chile,1621603255000.0,-33.0472,-71.6127,93405,88170,2487,2748,,,"Valparaiso, Chile"
111,112,Anhui,China,1621603255000.0,31.8257,117.2264,1001,989,6,6,,,"Anhui, China"
112,113,Beijing,China,1621603255000.0,40.1824,116.4142,1057,1046,9,2,,,"Beijing, China"
113,114,Chongqing,China,1621603255000.0,30.0572,107.874,598,586,6,6,,,"Chongqing, China"
114,115,Fujian,China,1621603255000.0,26.0789,117.9874,610,583,1,26,,,"Fujian, China"
115,116,Gansu,China,1621603255000.0,35.7518,104.2861,193,191,2,0,,,"Gansu, China"
116,117,Guangdong,China,1621603255000.0,23.3417,113.4244,2400,2354,8,38,,,"Guangdong, China"
117,118,Guangxi,China,1621603255000.0,23.8298,108.7881,275,267,2,6,,,"Guangxi, China"
118,119,Guizhou,China,1621603255000.0,26.8154,106.8748,147,145,2,0,,,"Guizhou, China"
119,120,Hainan,China,1621603255000.0,19.1959,109.7453,188,176,6,6,,,"Hainan, China"
120,121,Hebei,China,1621603255000.0,37.8957,114.9042,1317,1310,7,0,,,"Hebei, China"
121,122,Heilongjiang,China,1621603255000.0,47.862,127.7615,1611,1597,13,1,,,"Heilongjiang, China"
122,123,Henan,China,1621603255000.0,33.882,113.614,1314,1289,22,3,,,"Henan, China"
123,124,Hong Kong,China,1621603255000.0,22.3,114.2,11829,11547,210,72,,,"Hong Kong, China"
124,125,Hubei,China,1621603255000.0,30.9756,112.2707,68159,63644,4512,3,,,"Hubei, China"
125,126,Hunan,China,1621603255000.0,27.6104,111.7088,1049,1038,4,7,,,"Hunan, China"
126,127,Inner Mongolia,China,1621603255000.0,44.0935,113.9448,384,380,1,3,,,"Inner Mongolia, China"
127,128,Jiangsu,China,1621603255000.0,32.9711,119.455,722,713,0,9,,,"Jiangsu, China"
128,129,Jiangxi,China,1621603255000.0,27.614,115.7221,937,936,1,0,,,"Jiangxi, China"
129,130,Jilin,China,1621603255000.0,43.6661,126.1923,573,570,3,0,,,"Jilin, China"
130,131,Liaoning,China,1621603255000.0,41.2956,122.6085,423,406,2,15,,,"Liaoning, China"
131,132,Macau,China,1621603255000.0,22.1667,113.55,50,49,0,1,,,"Macau, China"
132,133,Ningxia,China,1621603255000.0,37.2692,106.1655,76,75,0,1,,,"Ningxia, China"
133,134,Qinghai,China,1621603255000.0,35.7452,95.9956,18,18,0,0,,,"Qinghai, China"
134,135,Shaanxi,China,1621603255000.0,35.1917,108.8701,609,591,3,15,,,"Shaanxi, China"
135,136,Shandong,China,1621603255000.0,36.3427,118.1498,883,872,7,4,,,"Shandong, China"
136,137,Shanghai,China,1621603255000.0,31.202,121.4491,2061,1991,7,63,,,"Shanghai, China"
137,138,Shanxi,China,1621603255000.0,37.5777,112.2922,251,246,0,5,,,"Shanxi, China"
138,139,Sichuan,China,1621603255000.0,30.6171,102.7103,1006,978,3,25,,,"Sichuan, China"
139,140,Tianjin,China,1621603255000.0,39.3054,117.323,389,379,3,7,,,"Tianjin, China"
140,141,Tibet,China,1621603255000.0,31.6927,88.0924,1,1,0,0,,,"Tibet, China"
141,142,Unknown,China,1621603255000.0,,,0,7,0,-7,,,"Unknown, China"
142,143,Xinjiang,China,1621603255000.0,41.1129,85.2401,980,977,3,0,,,"Xinjiang, China"
143,144,Yunnan,China,1621603255000.0,24.974,101.487,351,321,2,28,,,"Yunnan, China"
144,145,Zhejiang,China,1621603255000.0,29.1832,120.0934,1361,1324,1,36,,,"Zhejiang, China"
145,146,Amazonas,Colombia,1621603255000.0,-1.4429,-71.5724,6300,6009,238,53,,,"Amazonas, Colombia"
146,147,Antioquia,Colombia,1621603255000.0,7.1986,-75.3412,511880,484594,11299,15987,,,"Antioquia, Colombia"
147,148,Arauca,Colombia,1621603255000.0,7.0762,-70.7105,7195,6701,206,288,,,"Arauca, Colombia"
148,149,Atlantico,Colombia,1621603255000.0,10.6966,-74.8741,263054,249321,8114,5619,,,"Atlantico, Colombia"
